AverageLyingBPM,MaxLyingBPM,MinLyingBPM,AverageLyingIBI,MaxLyingIBI,MinLyingIBI,AverageStandingBPM,MaxStandingBPM,MinStandingBPM,AverageStandingIBI,MaxStandingIBI,MinStandingIBI,DiffPositionBpm,DiffPositionIbi,Rating
90,102,78,668,737,570,96,108,78,633,778,574,6,35,1
109,114,102,550,588,527,99,120,60,645,1034,502,10,95,1
98,102,96,610,618,600,114,120,108,534,565,513,16,76,2
79,90,54,785,1156,674,97,120,54,717,1431,497,18,68,2
87,90,84,689,698,683,83,102,24,716,1019,529,4,27,1
70,78,60,874,1020,820,92,96,84,693,961,616,22,181,3
76,78,72,793,809,761,90,108,48,751,1437,544,14,42,2
73,78,66,820,847,777,85,108,54,796,1418,580,12,24,1
64,72,54,938,1036,836,85,90,66,756,1127,670,21,182,3
85,90,78,707,743,674,93,114,66,678,903,542,8,29,1
67,72,60,900,928,869,85,96,66,779,1285,642,18,121,2
68,72,66,887,907,861,92,108,60,715,989,551,24,172,3
77,84,72,788,831,752,93,108,66,675,931,560,16,113,2
69,72,66,872,936,818,89,102,72,735,958,608,20,137,2
